notas
1,39
7,58
0,79
5,58
3,41
3,91
2,01
7,93
7,61
7,97
7,98
8,17
4,79
6,23
5,04
1,45
3,80
2,87
6,46
1,23
5,41
6,41
7,13
6,33
5,30
7,75
7,30
6,00
0,78
6,20
4,37
9,69
1,95
4,63
3,13
4,21
9,32
0,70
7,73
6,70
6,87
8,10
5,23
5,98
5,18
5,19
9,44
7,99
3,02
2,09
9,29
2,80
7,49
0,02
4,91
6,04
7,76
9,14
1,66
6,97
4,30
8,07
6,72
3,83
3,59
3,89
4,01
7,38
5,86
7,86
9,90
4,17
6,06
9,29
0,23
8,92
0,60
1,23
0,75
5,76
6,34
4,17
8,39
9,54
5,62
3,68
7,94
6,36
8,60
0,08
6,89
2,64
1,76
1,76
7,29
3,59
5,86
5,66
5,43
5,48
